,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
192607,  -99.99,   -0.43,    1.52,    2.68,   -0.57,    0.59,    1.60,    1.47,    3.33,   -1.45,    0.29,   -0.15,    1.33,    1.24,    1.98,    1.55,    1.38,    3.38,    3.29
192608,  -99.99,    3.90,    3.04,    2.09,    3.84,    3.59,    3.71,    1.61,    2.33,    5.12,    2.59,    4.03,    3.15,    2.72,    4.72,    1.60,    1.63,    0.98,    3.70
192609,  -99.99,   -1.08,   -0.54,    0.16,   -0.48,   -1.40,    0.00,   -0.50,   -0.09,    0.93,   -1.87,   -2.27,   -0.53,    0.07,   -0.07,   -1.64,    0.64,   -0.86,    0.67
192610,  -99.99,   -3.32,   -3.52,   -3.06,   -3.29,   -4.10,   -2.89,   -3.36,   -2.95,   -4.84,   -1.77,   -3.36,   -4.83,   -2.98,   -2.80,   -3.45,   -3.27,   -3.47,   -2.43
192611,  -99.99,   -0.46,    3.82,    3.09,   -0.55,    2.18,    3.41,    3.39,    3.16,   -0.78,   -0.32,   -0.29,    4.65,    3.24,    3.57,    3.82,    2.95,    3.61,    2.70
192612,  -99.99,    2.54,    1.69,    3.25,    1.19,    3.78,    1.32,    2.63,    3.14,   -2.66,    4.96,    5.25,    2.31,    1.35,    1.28,    1.82,    3.45,    3.27,    3.01
192701,  -99.99,    1.86,    1.32,    0.23,    2.61,    1.26,    0.74,    1.22,   -0.08,    4.53,    0.77,    0.34,    2.18,   -0.64,    2.15,    1.61,    0.83,    0.27,   -0.43
192702,  -99.99,    6.45,    6.62,    4.17,    7.03,    5.68,    6.83,    5.34,    4.28,    6.85,    7.19,    5.31,    6.05,    5.63,    8.06,    6.75,    3.94,    4.91,    3.65
192703,  -99.99,   -3.06,   -1.93,   -0.61,   -3.70,   -1.52,   -3.26,   -1.09,    0.19,   -5.91,   -1.65,   -1.79,   -1.24,   -3.14,   -3.39,    0.02,   -2.19,   -0.46,    0.85
192704,  -99.99,    3.48,   -0.15,    0.05,    4.85,    0.02,    0.11,   -0.16,    0.14,    4.67,    5.01,    0.68,   -0.62,    0.43,   -0.23,   -0.20,   -0.12,   -0.61,    0.90
192705,  -99.99,    6.75,    6.81,    5.67,    7.21,    6.77,    6.58,    6.22,    5.48,    5.31,    8.96,    5.79,    7.71,    6.07,    7.11,    6.39,    6.05,    5.70,    5.25
192706,  -99.99,   -2.45,   -1.18,   -2.90,   -3.55,   -0.31,   -1.43,   -2.18,   -2.86,   -2.01,   -4.98,   -0.14,   -0.47,   -2.58,   -0.25,   -1.40,   -2.97,   -3.59,   -2.14
192707,  -99.99,    5.95,    5.03,    6.80,    6.68,    5.12,    4.39,    5.92,    7.08,    8.04,    5.31,    4.52,    5.74,    3.18,    5.62,    5.62,    6.22,    6.30,    7.85
192708,  -99.99,   -0.61,    0.20,    1.67,   -0.61,   -0.05,   -0.23,    1.20,    1.66,   -0.88,   -0.34,   -0.62,    0.53,   -1.24,    0.81,    0.71,    1.70,    1.62,    1.71
192709,  -99.99,    0.59,    3.57,    4.89,    0.06,    2.15,    3.06,    5.02,    5.02,   -0.71,    0.81,    1.61,    2.70,    1.75,    4.39,    5.43,    4.61,    4.70,    5.34
192710,  -99.99,   -5.25,   -2.45,   -3.86,   -6.51,   -2.26,   -2.87,   -2.93,   -4.01,   -5.55,   -7.46,   -2.78,   -1.73,   -3.01,   -2.72,   -2.33,   -3.55,   -4.27,   -3.76
