,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,   0.86,  -5.36,   1.67,   2.31,  26.28,   2.45,  -0.68,   2.45,   1.01,   0.44,   2.96,   3.05,   3.49,   1.62,   3.06,   0.43,   4.77,  -1.06,  -2.40,   4.85,   1.31,   7.76,   3.13,   1.29,  -0.89, -20.23,   1.78,   1.69,   0.44,   2.61
192608,   3.70,  19.25,   5.01,   2.53,  21.18,  -2.86,   4.79,   6.11,   3.02,   4.31,   1.19,  -0.58,   7.08,   3.50,   1.12,   3.95,  -0.26,   3.64,   4.55,  -2.00,   1.08,   4.20,   1.20,   4.00,   5.13,   9.42,  -0.45,  -0.90,   8.84,   3.48
192609,   1.38,   5.63,   3.10,   4.13,  -2.04,   1.76,  -6.16,   0.80,   2.40,  -4.09,  -2.64,   2.28,   0.78,   1.97,  -4.86,   1.99,   0.23,   3.56,  -4.85,   2.06,   0.22,  -6.28,  -0.89,  -6.64,  -0.28,   0.32,  -0.87,  -0.14,  -2.55,  -0.18
192610,  -4.70,  -6.08,  -1.63,  -5.76,   8.33,  -2.98,  -1.12,   0.13,  -8.77,   1.92,  -5.66,  -4.98,  -3.74,  -5.62,  -8.88,  -5.41,   0.44,  14.99,   0.32,  -2.98,  -0.99,  -4.10,  -5.88,  -4.90,  -2.33,  -6.21,  -3.33,  -2.05,  -4.40,  -6.39
192611,   6.74,  11.29,   9.58,   0.28,  -5.98,   1.65,   0.85,   7.20,   5.34,   4.54,   1.33,   1.81,  -1.85,   1.12,  -1.62,   6.86,   5.27,  -6.10,   3.06,   5.71,   1.48,  -3.62,   1.65,   2.60,   0.42,  -0.26,   1.34,   1.92,  -0.27,  -0.41
192612,  -1.11,  -5.43,   2.56,   2.60,  -0.61,   2.20,   1.63,   0.42,   3.87,   3.37,   2.50,   2.17,   4.18,  -1.06,   5.74,   8.56,   0.10,  -3.98,   6.62,   1.72,   1.62,   4.20,   5.42,  -3.28,   1.06,   1.40,   2.80,   3.34,   2.40,  -0.95
192701,  -1.66,  -3.33,  -1.37,   1.94,   7.10,   2.31,   1.75,   6.13,   0.18,  -4.34,  -3.59,   0.13,   6.27,  -0.31,  -1.75,  -0.21,   2.85,  -1.72,   4.73,  -0.44,   0.13,   1.37,   1.63,  -2.05,   7.53,  -9.06,  -2.63,   1.85,  -3.88,  -3.70
192702,   3.08,  19.11,   4.72,   1.25,   4.30,   4.48,   1.71,   2.47,   5.58,   1.99,   3.90,   8.23,   5.67,   7.95,   6.99,   6.41,   5.37,   2.31,   4.61,   4.88,   6.98,   7.77,   8.92,   3.90,   9.36,   9.10,   4.05,   9.50,   4.25,   0.44
192703,  -4.35,  -8.69,   1.26,   0.64,  -2.57,  -0.36,  -0.85,  -0.20,  -3.76,  -5.18,   5.10,  -3.19,  -2.26,  -5.21,  -0.67,   0.15,   0.39,   0.50, -11.03,   2.19,   1.35,  -4.99,   4.13,  -5.64,  -0.02,  29.55,  -1.30,  -0.98,  -0.23,  -0.61
192704,   0.37,  -0.06,   1.21,  -3.41,   0.56,   0.09,   1.57,   5.80,   2.72,   5.32,   2.85,  -0.18,   2.67,  -1.00,  -1.58,   4.35,   2.98,  -0.21,  -4.66,   1.69,   0.58,   2.24,   6.83,   3.99,   1.28, -15.68,   4.22,   4.78,   2.72,   4.81
192705,   7.15,  23.04,   5.55,  -0.02,   1.71,   9.39,   8.72,   4.79,   2.96,   4.98,   7.66,   4.46,   6.10,   2.83,   3.78,  13.39,  -2.16,  19.62,   5.06,   9.29,   1.60,  13.72,   3.63,   9.04,  11.21,  -5.30,   2.26,   3.76,   8.22,   3.22
192706,  -2.88,  15.97,   0.30,  -5.50,   6.59,  -5.00,  -5.13,   3.64,   4.67,  -3.61,  -1.56,  -5.90,  -0.73,   1.29,  -6.71,  -5.41,  -2.69,  -9.01,   1.44,  -3.30,  -2.63, -21.88,   2.01,  -2.34,   0.46,  -5.69,  -2.04,   0.55,  -1.34,  -6.36
192707,   5.27,   6.63,   7.03,  -0.67,   1.40,   1.76,  10.36,   8.59,   7.10,   7.59,   4.57,   8.52,   5.77,   5.79,   9.36,   6.26,  10.54,   6.04,   1.44,   4.18,   4.36,  28.88,  10.25,  12.77,   2.90,  17.28,   5.68,   2.67,   3.08,   4.85
192708,   2.20,  -5.44,   0.44,   2.07,   3.39,   0.82,   1.60,   0.15,   2.80,  -2.43,  -4.23,   0.42,  -0.71,   0.31,   1.21,   5.67,   1.18,   3.86,  -3.10,   6.17,   1.31,   0.48,  -4.91,   0.69,  -3.31,  -3.47,   3.63,   2.27,   2.16,   6.33
192709,   2.89,  11.71,   3.18,   0.16,   5.79,   1.53,   2.68,   6.00,   0.00,   1.76,   0.90,   0.02,  -0.54,   4.45,   1.98,  -0.81,   5.52,  -1.95,   5.13,   9.42,   5.20,   6.69,   4.00,   6.50,   3.73,   0.59,   4.04,   4.42,   5.19,  -0.93
192710,  -2.58,   0.50,  -0.28,  -1.15,  -1.44,  -2.49,   4.13,   5.15,  -4.19,  -5.61,  -2.36,  -7.35,  -1.70,  -2.71,  -4.98,  -4.49,  -3.25, -11.62,  -3.11,  -4.68,  -2.33,   1.10,  -5.77,  -0.81,  -6.62, -10.74,  -3.69,  -1.30,   1.57,  -1.13
192711,   9.61,   7.12,   9.44,   2.32,  11.24,   1.98,   3.50,   5.05,  10.99,   2.44,   4.59,  23.30,  11.62,  17.16,  14.61,   7.94,  18.07,  13.81,   9.06,   5.96,   3.66,   0.39,  11.23,   8.96,   6.30,  -0.55,  11.07,   1.32,   8.04,  13.61
192712,   6.40,   6.20,   0.86,  -3.92,   3.21,   9.24,  -1.34,  -1.42,   7.33,   0.87,   2.57,   6.94,   2.46,  -0.92,   6.54,   6.07,   8.69,  -6.61,   2.02,   1.80,   3.42,  -2.53,   4.02,  -0.63,  -0.40,   3.43,   2.01,   1.08,   7.93,   1.37
192801,   4.64,   1.85,   2.17,  -3.33,   3.87,   4.21,   8.26,   1.45,   1.46,   1.92,   7.58,   7.35,   5.87,   1.13,  -1.69,   0.35,  17.85,  -8.98,   1.18,   8.76,  -1.85,  17.99,   2.85,   1.72,  -0.46,   4.47,   4.69,  -0.55,   4.18,   7.74
192802,  -2.26,  -9.52,  -4.13,  -1.83,  -0.98,   1.26,  -3.14,  -1.89,  -2.11,   1.91,   0.97,  -2.17,  -3.57,  -0.01,  -5.12,  -3.79,  -1.98,  -3.80,  -1.67,  -1.63,  -0.38,  -4.71,   0.21,  -0.59,  -3.40, -11.93,  -0.44,  -1.72,  -3.32,  -2.24
192803,   4.48,  22.35,   5.11,   7.79,  11.52,   8.86,   0.26,   8.96,   7.59,   6.90,   4.83,   8.16,   3.49,  20.23,  14.72,   7.85,  10.13,   1.69,   7.09,   4.95,   3.20,   6.83,   2.84,   4.74,   5.56,  17.35,   5.56,   4.28,   7.67,   4.28
192804,   5.24,   5.43,  -1.56,   0.25,  11.28,   2.51,  10.54,   3.36,   5.95,  -0.59,   6.51,   5.12,  21.60,   6.37,   4.21,   7.92,   5.15,   2.76,  30.58,  10.94,   2.41,   7.43,   2.44,   6.35,   7.66,  -2.94,   6.76,  -0.17,  11.99,   6.25
192805,   4.17,   7.84,   0.60,  17.08,  12.07,  -3.23,  -1.24,   7.21,   1.13,   1.69,   3.06,  10.03,   1.17,  15.63,  10.76,  -2.38,   8.49,   6.57,  -5.36,   1.70,   6.53,   0.23,   5.83,  -2.13,   2.85,  11.12,   3.48,   9.33,   6.18,   0.63
192806,  -7.29,  -5.36,  -6.35,  -9.58, -11.53,  -9.15,  -8.49,  -1.46,  -5.71,  -8.16,  -8.06,  -8.20,  -3.87,  -5.38, -12.88,  -7.00, -10.43,  -7.09,  -5.94,  -3.82,  -6.27,  10.48,  -3.81,  -7.77,  -5.03,   3.86,  -5.90,  -3.83,  -7.64,  -7.60
192807,  -0.01,   0.75,   2.17,  -0.12,   1.67,  -1.78,  -1.20,  -0.81,   2.56,  -1.41,  -2.14,  -0.14,  -0.43,  -2.15,   1.76,  -3.41,  -1.09,  -0.74,   2.25,  -1.09,  -0.08,   1.16,   4.16,   2.35,  -1.15,  -4.59,   4.97,  -0.26,  -0.06,   0.14
192808,   6.51,  14.36,   7.15,  13.61,   2.55,   7.25,   0.67,   9.38,   6.92,   1.06,   3.28,  10.89,   2.99,  10.78,  13.93,   5.58,   4.34,  -4.90,   2.11,   5.72,   2.33,  -0.89,  -3.58,  -0.27,   3.21,   6.32,   7.98,   9.76,   6.14,   7.63
