date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
31/01/1997,1.19,3.93,1.78,7.91,1.89,2.13,1.91,5.73,2.81,1.50,1.80,-1.66,3.17
28/02/1997,1.23,2.98,1.22,5.25,1.01,0.84,1.22,1.75,-0.06,0.34,1.18,4.26,1.06
31/03/1997,0.78,-0.21,-0.12,-1.20,0.16,-0.23,1.09,-1.19,-0.84,0.60,0.10,7.78,-0.77
30/04/1997,0.86,-1.70,0.30,1.19,1.19,-0.05,1.30,1.72,0.84,-0.01,1.22,-1.29,0.09
31/05/1997,1.56,-0.15,2.33,3.15,1.89,3.46,1.18,1.08,3.94,1.97,1.73,-7.37,2.75
30/06/1997,2.12,0.85,2.17,5.81,1.65,2.58,1.08,2.18,2.23,2.31,1.98,-0.65,2.25
31/07/1997,1.93,5.91,2.34,5.60,2.47,3.07,0.95,7.38,4.54,2.00,1.81,-4.29,4.35
31/08/1997,1.34,-4.73,1.47,-0.66,0.17,0.71,0.87,-1.80,1.07,0.79,1.03,-0.72,0.51
30/09/1997,1.22,1.98,3.50,2.29,2.02,3.29,1.19,2.90,4.29,1.97,1.83,-1.55,3.34
31/10/1997,1.00,-0.98,-0.64,-5.72,0.95,0.61,-0.32,-1.42,0.10,0.94,0.79,5.72,-0.99
30/11/1997,0.00,1.33,0.54,-3.78,0.41,1.34,0.53,1.06,-0.26,2.23,1.11,2.17,-0.34
31/12/1997,0.68,2.86,0.73,1.60,0.66,1.54,0.79,2.64,1.04,1.58,0.82,1.61,0.89
31/01/1998,1.45,1.04,0.95,-4.29,0.60,0.55,-0.26,-0.50,0.13,0.55,1.32,0.14,-0.36
28/02/1998,1.46,-0.65,2.27,3.39,1.35,2.94,0.98,1.28,3.42,2.12,1.30,1.55,2.56
31/03/1998,1.44,1.22,2.52,3.18,1.79,2.63,1.28,5.70,3.36,1.64,1.45,6.37,3.73
30/04/1998,1.26,-2.96,1.65,0.41,0.67,1.04,0.75,0.34,1.20,1.39,1.45,6.57,1.25
31/05/1998,0.56,1.93,0.06,-8.25,0.80,-0.83,0.40,0.95,-0.87,-0.09,0.53,14.37,-0.72
30/06/1998,-0.06,0.51,-0.47,-4.22,1.08,0.02,-0.80,1.20,1.67,0.72,0.26,-0.53,0.21
31/07/1998,0.60,-0.10,-0.69,0.19,0.12,-0.37,1.06,0.58,-0.06,0.07,0.11,3.43,-0.07
31/08/1998,-3.19,6.91,-8.36,-19.22,-1.07,-8.86,-1.43,-2.63,-5.52,-5.44,-3.41,24.63,-6.16
30/09/1998,-1.96,4.54,-2.15,-3.95,0.61,-1.10,-3.62,-0.59,2.06,0.76,0.05,-3.76,-0.37
31/10/1998,-2.14,0.04,-0.29,1.40,0.52,0.91,-8.01,-2.23,1.69,1.59,-1.40,-10.77,-0.02
30/11/1998,2.69,-0.89,1.64,4.30,1.58,2.44,0.52,1.94,2.91,2.20,1.98,-7.56,2.20
31/12/1998,1.13,2.21,1.08,-0.98,2.09,2.19,1.20,2.33,4.08,2.24,1.64,-5.31,2.22
31/01/1999,2.19,-1.67,1.81,-1.20,1.01,2.01,1.58,0.86,2.58,1.12,1.95,-6.65,2.02
28/02/1999,0.82,1.97,-0.21,1.02,0.23,-0.42,2.08,-1.11,-1.69,0.36,0.85,8.33,-0.63
31/03/1999,1.36,-0.65,1.59,5.85,0.33,1.93,1.60,0.24,2.29,1.33,1.16,-1.54,2.13
30/04/1999,2.43,2.10,4.18,6.30,1.07,4.29,1.06,3.29,3.12,2.18,2.38,-3.75,4.00
31/05/1999,1.66,-1.50,2.07,0.61,0.89,2.15,0.72,-0.55,0.95,2.10,1.46,0.09,1.19
30/06/1999,1.02,2.34,2.73,6.54,1.68,2.97,0.88,2.14,3.15,2.22,1.48,-4.12,2.82
31/07/1999,1.01,-0.51,0.84,-0.61,1.35,0.96,0.51,-0.18,1.77,1.47,1.10,0.92,0.88
31/08/1999,0.48,-0.27,0.20,-1.47,0.95,-0.27,-0.28,-0.61,0.22,0.50,0.62,4.68,0.28
30/09/1999,0.96,0.64,-0.41,-0.69,0.95,0.90,0.92,-0.02,1.13,1.16,1.05,4.01,0.52
31/10/1999,0.45,-3.54,0.27,2.88,0.66,0.54,0.87,0.73,2.12,0.96,0.70,-1.30,1.30
30/11/1999,1.24,1.66,2.20,6.92,1.33,2.84,1.06,4.05,4.81,2.37,1.37,-12.39,4.83
31/12/1999,1.40,1.42,3.00,12.30,1.98,2.86,0.97,6.12,7.45,0.90,1.83,-11.37,6.22
31/01/2000,2.27,1.28,0.88,0.77,0.75,0.88,0.41,0.21,0.75,1.43,1.73,4.27,1.69
29/02/2000,2.67,-0.22,4.21,5.28,2.53,3.46,0.97,4.08,6.99,2.39,1.85,-13.40,6.66
31/03/2000,2.43,-1.38,1.03,3.18,1.34,0.69,-0.61,-1.04,0.06,1.31,1.63,-2.30,0.39
30/04/2000,2.23,-2.41,-1.01,-5.41,1.68,-0.59,-0.06,-3.04,-2.01,1.88,0.92,10.28,-2.69
31/05/2000,1.49,1.14,-1.32,-4.33,0.62,-0.34,1.07,-0.70,-0.97,1.46,0.80,7.04,-1.22
30/06/2000,1.79,-1.24,2.03,3.34,1.71,2.68,0.58,1.54,3.49,1.67,1.76,-11.07,3.11
31/07/2000,0.93,-1.31,0.64,0.25,0.63,0.57,0.18,0.37,0.06,1.16,0.84,5.53,-0.22
31/08/2000,1.62,1.89,1.40,3.68,2.10,1.73,1.07,2.48,3.45,1.57,1.57,-11.35,2.67
30/09/2000,1.41,-2.08,-0.19,-4.62,0.58,0.48,0.76,-1.49,-0.16,1.37,0.75,12.04,-0.69
31/10/2000,0.52,0.75,-0.73,-2.56,0.40,-0.68,0.06,-0.24,-0.84,0.26,-0.04,7.84,-1.04
30/11/2000,-0.81,4.25,-2.09,-3.85,0.45,-1.36,0.66,1.25,-1.53,1.02,0.06,16.57,-2.05
