,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,   2.64,   0.73, -99.99,  -5.36,   1.67,   8.65,   1.25,  50.21,   2.45,  -0.68, -99.99,   7.07,   0.60,   1.01, -99.99,   0.44,   3.82,  -8.21,   3.05, -99.99,   3.49,   1.62,   3.06,  -0.65,   0.52, -99.99, -99.99,   4.77,  -1.06,  -2.40,   4.85,   1.31, -99.99,   2.83,   2.89, -99.99,   4.50,   1.35, -99.99,   1.29,  -0.79, -20.23,   1.78,   1.69,   4.96,  -0.94,   7.14,  -5.26,   2.61
192608,   0.37,   3.95, -99.99,  19.25,   5.01,  16.81,   0.15,  42.98,  -2.86,   4.79, -99.99,   5.33,   6.42,   3.02, -99.99,   4.31,   0.72,   7.37,  -0.58, -99.99,   7.08,   3.50,   1.12,  -6.58,   4.83, -99.99, -99.99,  -0.26,   3.64,   4.55,  -2.00,   1.08, -99.99,   3.92,   2.08, -99.99,  -3.40,   6.89, -99.99,   4.00,   5.12,   9.42,  -0.45,  -0.90,  34.23,   1.05,   3.02,  -1.44,   3.48
192609,  -3.15,   1.72, -99.99,   5.63,   3.10,   8.33,   3.43,  -4.91,   1.76,  -6.16, -99.99,   4.40,  -0.64,   2.40, -99.99,  -4.09,  -1.94, -11.76,   2.28, -99.99,   0.78,   1.97,  -4.86,  -7.09,   2.75, -99.99, -99.99,   0.23,   3.56,  -4.85,   2.06,   0.22, -99.99,  -6.06,   1.50, -99.99,  -5.82,  -0.63, -99.99,  -6.64,  -0.04,   0.32,  -0.87,  -0.14,  -1.25,  -0.07,  -1.74,  -5.80,  -0.18
192610,   0.55,  -5.09, -99.99,  -6.08,  -1.63,  -1.40,  -6.49,   5.37,  -2.98,  -1.12, -99.99,   4.99,  -1.82,  -8.77, -99.99,   1.92,  -5.44,  -8.59,  -4.98, -99.99,  -3.74,  -5.62,  -8.88, -13.36,  -4.75, -99.99, -99.99,   0.44,  14.99,   0.32,  -2.98,  -0.99, -99.99,  -0.23,  -2.39, -99.99, -15.92,   0.21, -99.99,  -4.90,  -2.39,  -6.21,  -3.33,  -2.05, -11.13,  -3.46,  -3.72,  -0.39,  -6.39
192611,  -8.57,   7.89, -99.99,  11.29,   9.58,   0.00,   0.33,  -6.40,   1.65,   0.85, -99.99,   3.66,   8.61,   5.34, -99.99,   4.54,   1.26,   2.25,   1.81, -99.99,  -1.85,   1.12,  -1.62,   6.61,   6.88, -99.99, -99.99,   5.27,  -6.10,   3.06,   5.71,   1.48, -99.99,  -2.20,   2.53, -99.99,  -1.41,   4.25, -99.99,   2.60,   0.39,  -0.26,   1.34,   1.92,  -3.70,   1.79,  -0.08,   0.67,  -0.41
192612,  -6.00,  -0.74, -99.99,  -5.43,   2.56,   2.48,   2.62,  -3.29,   2.20,   1.63, -99.99,  -3.08,   1.81,   3.87, -99.99,   3.37,   2.63,   0.76,   2.17, -99.99,   4.18,  -1.06,   5.74,   9.17,   8.51, -99.99, -99.99,   0.10,  -3.98,   6.62,   1.72,   1.62, -99.99,   4.80,   3.31, -99.99,   7.27,  10.14, -99.99,  -3.28,   0.89,   1.40,   2.80,   3.34,  -0.61,   2.82,   9.67,  -0.05,  -0.95
192701,  -0.10,  -1.77, -99.99,  -3.33,  -1.37,   1.73,   1.98,   1.21,   2.31,   1.75, -99.99,   4.78,   6.67,   0.18, -99.99,  -4.34,  -3.59,  -3.55,   0.13, -99.99,   6.27,  -0.31,  -1.75,  -2.29,  -0.04, -99.99, -99.99,   2.85,  -1.72,   4.73,  -0.44,   0.13, -99.99,   5.60,   3.57, -99.99,   0.06,  -3.01, -99.99,  -2.05,   7.51,  -9.06,  -2.63,   1.85,  -7.78,  -0.01,  -0.37,  -6.58,  -3.70
192702,   8.49,   2.67, -99.99,  19.11,   4.72,  -6.12,   2.48,  10.31,   4.48,   1.71, -99.99,   5.35,   1.31,   5.58, -99.99,   1.99,   3.58,   8.01,   8.23, -99.99,   5.67,   7.95,   6.99,  -3.91,   7.27, -99.99, -99.99,   5.37,   2.31,   4.61,   4.88,   6.98, -99.99,   6.63,   8.85, -99.99,  11.68,   3.68, -99.99,   3.90,   9.37,   9.10,   4.05,   9.50,  14.37,   0.95,   2.46,   2.55,   0.44
192703,  -4.95,  -4.30, -99.99,  -8.69,   1.26,  -8.89,   2.22,  -7.83,  -0.36,  -0.85, -99.99,   1.46,  -0.87,  -3.76, -99.99,  -5.18,   5.11,   5.04,  -3.19, -99.99,  -2.26,  -5.21,  -0.67,   0.00,   0.16, -99.99, -99.99,   0.39,   0.50, -11.03,   2.19,   1.35, -99.99,  -0.93,   8.74, -99.99,  -6.17,   6.26, -99.99,  -5.64,  -0.12,  29.55,  -1.30,  -0.98, -10.07,   3.54,  -2.46,   2.96,  -0.61
192704,   3.25,   0.15, -99.99,  -0.06,   1.21,  -0.41,  -3.92,   3.77,   0.09,   1.57, -99.99,  -0.39,   8.28,   2.72, -99.99,   5.32,   3.74,  -8.67,  -0.18, -99.99,   2.67,  -1.00,  -1.58, -11.48,   5.67, -99.99, -99.99,   2.98,  -0.21,  -4.66,   1.69,   0.58, -99.99,  -0.75,   7.64, -99.99,   7.91,   1.43, -99.99,   3.99,   1.44, -15.68,   4.22,   4.78,  -1.89,   2.98,   1.33,   5.53,   4.81
192705,   6.02,   7.23, -99.99,  23.04,   5.55,  -4.90,   0.79,  -1.48,   9.39,   8.72, -99.99,   5.87,   4.35,   2.96, -99.99,   4.98,   9.05, -10.44,   4.46, -99.99,   6.10,   2.83,   3.78,  31.94,  11.85, -99.99, -99.99,  -2.16,  19.62,   5.06,   9.29,   1.60, -99.99,  19.29,   5.18, -99.99,  -0.45,   5.63, -99.99,   9.04,  10.54,  -5.30,   2.26,   3.76,   6.17,  14.85,   5.17,   5.81,   3.22
192706,  -3.65,  -2.82, -99.99,  15.97,   0.30,  -3.52,  -5.83,  -6.00,  -5.00,  -5.13, -99.99,   3.43,   3.72,   4.67, -99.99,  -3.61,  -0.54, -13.78,  -5.90, -99.99,  -0.73,   1.29,  -6.71,  14.49,  -7.06, -99.99, -99.99,  -2.69,  -9.01,   1.44,  -3.30,  -2.63, -99.99,  -4.35,  -1.44, -99.99,   7.20,   5.41, -99.99,  -2.34,   0.19,  -5.69,  -2.04,   0.55, -11.01,   3.59,   2.08,  -1.92,  -6.36
192707,   6.40,   5.19, -99.99,   6.63,   7.03,   1.50,  -1.39,   0.34,   1.76,  10.36, -99.99,  11.23,   7.53,   7.10, -99.99,   7.59,   5.19,   0.21,   8.52, -99.99,   5.77,   5.79,   9.36,  -2.78,   6.96, -99.99, -99.99,  10.54,   6.04,   1.44,   4.18,   4.36,   1.79,  19.64,   2.63, -99.99,  27.16,   6.89, -99.99,  12.77,   2.97,  17.28,   5.68,   2.67,   7.25,   9.17,   1.67,  -1.66,   4.85
192708,   6.51,   1.92, -99.99,  -5.44,   0.44,   4.52,   1.25,   0.63,   0.82,   1.60, -99.99,  -2.59,   1.25,   2.80, -99.99,  -2.43,  -4.34,  -3.50,   0.42, -99.99,  -0.71,   0.31,   1.21,  30.16,   3.79, -99.99, -99.99,   1.18,   3.86,  -3.10,   6.17,   1.31,   2.86,   3.47,   3.64, -99.99, -24.83,   0.75, -99.99,   0.69,  -3.57,  -3.47,   3.63,   2.27,   5.59,   4.26,  -0.61,   0.99,   6.33
192709,   6.61,   2.65, -99.99,  11.71,   3.18,   1.39,  -0.25,   0.71,   1.53,   2.68, -99.99,   8.72,   4.91,   0.00, -99.99,   1.76,   1.39,  -2.48,   0.02, -99.99,  -0.54,   4.45,   1.98,  17.65,  -2.23, -99.99, -99.99,   5.52,  -1.95,   5.13,   9.42,   5.20,  -1.39,   9.27,   2.64, -99.99,   7.20,   3.01, -99.99,   6.50,   3.68,   0.59,   4.04,   4.42,   4.33,  10.52,   4.73,   2.15,  -0.93
