,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,     99.80,     31.19,    -99.99,      7.12,     59.72,     13.00,     28.64,      4.33,     22.27,     18.36,    -99.99,     19.14,     28.07,     57.59,    -99.99,      6.18,     20.80,     10.35,     48.56,    -99.99,     27.47,    110.78,     47.55,      9.52,     43.95,    -99.99,    -99.99,     27.74,     40.52,     92.79,     81.22,    350.36,    -99.99,     11.21,     29.37,    -99.99,     26.17,    227.11,    -99.99,     35.35,     68.67,      1.19,     46.65,     10.82,     14.50,     31.82,     22.92,     10.28,     24.25
192608,    102.06,     31.15,    -99.99,      6.75,     60.47,     14.12,     29.34,      6.50,     22.13,     19.83,    -99.99,     20.09,     28.08,     62.13,    -99.99,      6.20,     21.30,      9.50,     50.39,    -99.99,     28.91,    114.29,     55.11,      9.46,     44.17,    -99.99,    -99.99,     29.30,     40.83,     91.43,     86.81,    353.27,    -99.99,     11.81,     30.47,    -99.99,     26.06,    230.18,    -99.99,     37.86,     69.79,      0.90,     46.57,     11.00,     15.17,     31.65,     23.56,      9.76,     25.51
192609,    104.34,     31.95,    -99.99,      8.58,     64.03,     16.50,     29.10,      9.29,     21.18,     19.29,    -99.99,     20.72,     29.13,     65.53,    -99.99,      6.71,     22.27,     10.20,     51.21,    -99.99,     29.34,    116.69,     57.11,      8.78,     44.95,    -99.99,    -99.99,     29.45,     41.18,     94.86,     85.01,    360.96,    -99.99,     11.99,     31.41,    -99.99,     24.84,    241.94,    -99.99,     36.82,     72.90,      0.95,     46.11,     10.94,     16.97,     32.46,     24.47,      9.70,     27.21
192610,    102.91,     32.21,    -99.99,      8.92,     64.42,     17.88,     30.58,      8.83,     21.23,     19.03,    -99.99,     21.43,     29.04,     68.47,    -99.99,      6.82,     22.04,      8.80,     51.02,    -99.99,     29.30,    114.93,     59.69,      8.15,     45.96,    -99.99,    -99.99,     29.46,     41.30,     90.87,     86.41,    364.16,    -99.99,     12.01,     32.42,    -99.99,     23.27,    240.41,    -99.99,     34.77,     72.71,      0.88,     46.15,     10.80,     16.46,     32.66,     23.72,      9.39,     26.16
192611,    102.34,     30.90,    -99.99,      8.62,     65.08,     17.62,     29.01,      9.31,     20.14,     19.03,    -99.99,     22.17,     28.29,     65.06,    -99.99,      6.84,     21.05,      8.04,     48.90,    -99.99,     29.60,    108.33,     54.81,      7.07,     43.22,    -99.99,    -99.99,     28.51,     41.90,     89.87,     83.92,    363.74,    -99.99,     12.17,     31.61,    -99.99,     21.91,    240.92,    -99.99,     32.80,     70.58,      0.74,     45.03,     10.33,     14.52,     31.26,     22.33,      9.56,     23.94
192612,    109.25,     32.79,    -99.99,      9.25,     67.68,     17.62,     29.52,      8.40,     19.91,     19.35,    -99.99,     22.92,     29.77,     68.42,    -99.99,      7.17,     21.50,      8.23,     50.52,    -99.99,     30.28,    113.84,     53.21,      7.47,     46.61,    -99.99,    -99.99,     30.92,     41.70,     89.30,     86.70,    369.65,    -99.99,     12.27,     32.65,    -99.99,     22.20,    247.05,    -99.99,     33.91,     71.34,      0.78,     47.72,     10.73,     15.30,     32.38,     22.49,     10.03,     24.87
192701,    104.84,     32.55,    -99.99,      8.88,     68.97,     18.06,     29.59,      8.12,     20.24,     19.28,    -99.99,     21.74,     29.98,     70.73,    -99.99,      7.58,     21.92,      8.09,     52.06,    -99.99,     31.62,    109.94,     58.62,      8.15,     47.32,    -99.99,    -99.99,     30.86,     42.30,     93.56,     86.12,    371.52,    -99.99,     12.73,     33.72,    -99.99,     22.02,    272.12,    -99.99,     32.34,     73.36,      0.85,     47.91,     10.80,     14.90,     32.87,     24.28,      9.83,     24.29
192702,    101.01,     32.36,    -99.99,      8.83,     72.95,     18.38,     30.10,      8.22,     20.99,     19.06,    -99.99,     22.93,     31.22,     70.67,    -99.99,      8.10,     21.49,      7.80,     51.71,    -99.99,     31.94,    108.81,     58.01,      7.97,     46.81,    -99.99,    -99.99,     32.10,     40.48,     95.02,     84.41,    378.52,    -99.99,     13.42,     33.97,    -99.99,     21.90,    263.93,    -99.99,     31.29,     75.20,      0.70,     46.50,     10.95,     14.10,     32.61,     23.83,      9.31,     23.33
192703,    108.73,     33.51,    -99.99,      9.96,     73.45,     16.88,     30.82,      9.07,     21.78,     19.55,    -99.99,     23.87,     31.28,     77.50,    -99.99,      8.72,     22.36,      8.43,     53.34,    -99.99,     34.29,    113.49,     63.06,      7.59,     49.00,    -99.99,    -99.99,     33.75,     42.76,     95.58,     87.90,    393.55,    -99.99,     14.21,     36.29,    -99.99,     23.17,    269.56,    -99.99,     32.86,     78.77,      0.72,     47.88,     11.64,     15.27,     32.82,     24.49,      9.62,     23.13
192704,    105.94,     34.13,    -99.99,      8.61,     77.03,     15.38,     31.02,      8.36,     21.65,     19.55,    -99.99,     23.99,     31.56,     81.51,    -99.99,      8.21,     22.88,      8.65,     53.82,    -99.99,     33.35,    112.85,     63.88,      7.59,     47.82,    -99.99,    -99.99,     34.76,     45.09,     88.35,     87.84,    500.46,    -99.99,     13.55,     38.01,    -99.99,     20.26,    286.44,    -99.99,     29.67,     80.32,      0.58,     47.67,     11.31,     13.82,     35.20,     23.44,      9.56,     23.63
