,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,   2.37,   0.12, -99.99,  -5.19,   1.29,   8.65,   2.50,  50.21,  -0.48,   8.08, -99.99,   4.95,   0.91,   8.14, -99.99,   0.39,   2.46,  -8.21,   4.07, -99.99,   5.43,   3.18,  16.39,  -0.65,   1.05, -99.99, -99.99,   5.64,   1.54,  -1.40,   7.04,   0.83, -99.99,   5.85,   3.76, -99.99,   1.31,   1.35, -99.99,   7.70,   1.94, -23.79,   0.07,   1.87,   4.61,  -0.54,   2.89,  -4.85,   5.20
192608,   2.23,   2.68, -99.99,  27.03,   6.50,  16.81,  -0.76,  42.98,  -3.58,  -2.51, -99.99,   4.20,   4.26,   5.50, -99.99,   8.14,   4.63,   7.37,   2.17, -99.99,   2.06,   2.10,   4.23,  -6.58,   1.80, -99.99, -99.99,   0.55,   0.85,   3.69,  -1.69,   2.17, -99.99,   1.51,   3.57, -99.99,  -4.70,   6.89, -99.99,  -2.38,   4.88,   5.39,  -0.75,  -0.13,  11.83,   2.57,   5.30,  -0.57,   6.76
192609,  -0.57,   1.58, -99.99,   4.02,   1.26,   8.33,   6.42,  -4.91,   0.73,  -0.51, -99.99,   4.02,  -0.26,   5.33, -99.99,   2.31,  -0.11, -11.76,   0.15, -99.99,   0.36,  -0.56,   4.83,  -7.09,   2.88, -99.99, -99.99,   1.74,   0.30,  -3.69,   2.04,   2.41, -99.99,   0.81,   4.23, -99.99,  -6.04,  -0.63, -99.99,  -5.54,   0.06,  -7.87,   0.25,  -0.56,  -1.75,   0.72,  -3.06,  -3.14,  -3.86
192610,  -0.46,  -3.68, -99.99,  -3.31,   1.06,  -1.40,  -5.09,   5.37,  -4.68,   0.12, -99.99,   3.47,  -1.76,  -4.76, -99.99,   1.00,  -4.42,  -8.59,  -3.85, -99.99,   1.11,  -5.73,  -7.93, -13.36,  -5.45, -99.99, -99.99,  -3.20,   2.23,  -1.04,  -2.63,  -0.11, -99.99,   1.81,  -2.47, -99.99,  -3.92,   0.21, -99.99,  -5.08,  -2.64, -15.38,  -2.20,  -4.11, -11.82,  -4.28,  -5.74,   2.07,  -8.49
192611,   6.75,   6.26, -99.99,   7.29,   4.55,   0.00,   1.82,  -6.40,  -0.54,   1.87, -99.99,   4.33,   5.76,   5.20, -99.99,   3.11,   2.20,   2.25,   3.86, -99.99,   3.18,   5.08,  -0.66,   6.61,   7.89, -99.99, -99.99,   8.46,  -0.48,   0.06,   3.71,   1.63, -99.99,   0.78,   3.28, -99.99,   1.31,   4.25, -99.99,   3.84,   1.60,   4.67,   6.52,   4.33,  -2.97,   3.58,   2.21,   4.92,   4.00
192612,  -3.27,   0.18, -99.99,  -4.09,   2.55,   2.48,   2.14,  -3.29,   2.56,   0.60, -99.99,  -3.28,   1.15,   5.37, -99.99,   6.43,   3.60,   0.76,   3.75, -99.99,   5.02,  -2.47,  10.49,   9.17,   2.39, -99.99, -99.99,   1.83,   1.43,   2.94,  -0.17,   1.99, -99.99,   5.16,   4.38, -99.99,  -0.51,  10.14, -99.99,  -4.63,   3.59,   9.65,   0.57,   1.51,  -1.06,   3.27,   7.95,  -1.83,  -2.34
192701,  -3.66,  -0.16, -99.99,   0.57,  -0.35,   1.73,   1.88,   1.21,   4.08,  -1.06, -99.99,   5.45,   4.93,   0.23, -99.99,  -1.50,  -1.85,  -3.55,  -0.39, -99.99,   1.19,  -1.02,  -0.81,  -2.29,  -0.59, -99.99, -99.99,   4.17,  -3.06,   1.67,  -1.79,   1.88, -99.99,   5.84,   0.73, -99.99,   1.48,  -3.01, -99.99,  -2.60,   1.43, -17.93,  -2.70,   1.52,  -5.37,  -0.82,  -1.56,  -5.06,  -3.96
192702,   7.65,   3.66, -99.99,  12.83,   1.49,  -6.12,   2.43,  10.31,   4.57,   2.77, -99.99,   5.19,   0.68,   9.69, -99.99,   7.74,   4.07,   8.01,   3.67, -99.99,   7.85,   4.30,   9.56,  -3.91,   4.72, -99.99, -99.99,   5.20,   5.64,   1.13,   4.53,   3.97, -99.99,   5.86,   6.82, -99.99,   5.82,   3.68, -99.99,   5.46,   5.18,   3.49,   3.47,   6.86,   8.30,   0.66,   4.30,   3.33,   0.28
192703,  -0.60,   2.74, -99.99, -13.56,   5.51,  -8.89,   1.93,  -7.83,  -0.08,   0.90, -99.99,   1.25,   0.93,   6.07, -99.99,  -5.39,   3.42,   5.04,   1.48, -99.99,  -2.24,   0.40,   1.56,   0.00,  -1.78, -99.99, -99.99,   4.44,   5.45,  -7.01,   0.37,   5.56, -99.99,  -3.99,   5.94, -99.99, -12.30,   6.26, -99.99,  -9.67,   1.06, -20.47,  -0.30,  -2.42,  -7.96,   7.34,  -4.30,   0.67,   2.18
192704,   5.39,   2.10, -99.99,   2.85,   4.01,  -0.41,  -4.05,   3.77,   1.44,   5.95, -99.99,  -0.37,   3.69,   2.95, -99.99,   0.54,  -0.73,  -8.67,  -0.34, -99.99,   1.82,   6.29,   2.91, -11.48,  -0.61, -99.99, -99.99,   3.02,   0.95,  -5.78,   1.71,  -2.13, -99.99,   0.75,   4.73, -99.99,   8.82,   1.43, -99.99,   4.93,   0.75, -10.75,   4.38,   6.56,  -5.99,   3.09,   0.68,  11.49,   5.27
