player,year,atbats,hits,doubles,triples,homers,walks
player0,2020,300,108,20,1,5,25
player1,2020,499,170,5,3,4,10
player2,2020,513,129,18,5,20,85
player5,2020,197,67,3,2,22,37
player6,2020,542,166,33,7,18,25
player7,2020,500,161,19,2,10,27
player8,2020,589,176,42,13,25,30
player0,2021,321,114,5,0,0,15
player2,2021,522,130,27,4,14,42
player3,2021,555,167,40,7,22,1
player5,2021,123,44,3,0,0,12
player7,2021,501,145,30,10,30,29
player9,2021,515,154,41,7,32,18
player0,2022,297,109,8,1,2,12
player1,2022,512,157,42,17,23,38
player2,2022,518,150,12,12,35,20
player3,2022,519,165,37,2,12,25 
player4,2022,578,175,53,17,35,30
player5,2022,170,60,2,0,1,15
player8,2022,552,160,47,1,12,72
player9,2022,508,155,60,5,3,27
