"playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"alomaro01","2001","1","CLE","AL",157,575,113,193,34,12,20,100,30,6,80,71,5,4,9,9,9
"aloumo01","2001","1","HOU","NL",136,513,79,170,31,1,27,108,5,1,57,57,14,3,0,8,18
"aurilri01","2001","1","SFN","NL",156,636,114,206,37,5,37,97,1,3,47,83,2,0,3,3,14
"berkmla01","2001","1","HOU","NL",156,577,110,191,55,5,34,126,7,9,92,121,5,13,0,6,8
"boonebr01","2001","1","SEA","AL",158,623,118,206,37,3,37,141,5,5,40,110,5,9,5,13,11
"floydcl01","2001","1","FLO","NL",149,555,123,176,44,4,31,103,18,3,59,101,19,10,0,5,9
"giambja01","2001","1","OAK","AL",154,520,109,178,47,2,38,120,2,0,129,83,24,13,0,9,17
"gonzaju03","2001","1","CLE","AL",140,532,97,173,34,1,35,140,1,0,41,94,5,6,0,16,18
"gonzalu01","2001","1","ARI","NL",162,609,128,198,36,7,57,142,1,1,100,83,24,14,0,5,14
"heltoto01","2001","1","COL","NL",159,587,132,197,54,2,49,146,7,5,98,104,15,5,1,5,14
"guerrvl01","2002","1","MON","NL",161,614,106,206,37,2,39,111,40,20,84,70,32,6,0,5,20
"heltoto01","2002","1","COL","NL",156,553,107,182,39,4,30,109,5,1,99,91,21,5,0,10,10
"jonesch06","2002","1","ATL","NL",158,548,90,179,35,1,26,100,8,2,107,89,23,2,0,5,18
"ordonma01","2002","1","CHA","AL",153,590,116,189,47,1,38,135,7,5,53,77,2,7,0,3,21
"suzukic01","2002","1","SEA","AL",157,647,111,208,27,8,8,51,31,15,68,62,27,5,3,5,8
"willibe02","2002","1","NYA","AL",154,612,102,204,37,2,19,102,8,4,83,97,7,3,0,1,19
"anderga01","2003","1","ANA","AL",159,638,80,201,49,4,29,116,6,3,31,83,10,0,0,4,15
"gilesma01","2003","1","ATL","NL",145,551,101,174,49,2,21,69,14,4,59,80,2,11,10,4,7
"heltoto01","2003","1","COL","NL",160,583,135,209,49,5,33,117,0,4,111,72,21,2,0,7,19
"kendaja01","2003","1","PIT","NL",150,587,84,191,29,3,6,58,8,7,49,40,3,25,1,3,9
"muellbi02","2003","1","BOS","AL",146,524,85,171,45,5,19,85,1,4,59,77,2,7,4,6,11
"ordonma01","2003","1","CHA","AL",160,606,95,192,46,3,29,99,9,5,57,73,1,7,0,4,20
"pujolal01","2003","1","SLN","NL",157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13
"ramirma02","2003","1","BOS","AL",154,569,117,185,36,1,37,104,3,1,97,94,28,8,0,5,22
"renteed01","2003","1","SLN","NL",157,587,96,194,47,1,13,100,34,7,65,54,12,1,3,7,21
"sheffga01","2003","1","ATL","NL",155,576,126,190,37,2,39,132,18,4,86,55,6,8,0,8,16
"beltrad01","2004","1","LAN","NL",156,598,104,200,32,0,48,121,7,2,53,87,9,2,0,4,15
"berkmla01","2004","1","HOU","NL",160,544,104,172,40,3,30,106,9,7,127,101,14,10,0,6,10
"caseyse01","2004","1","CIN","NL",146,571,101,185,44,2,24,99,2,0,46,36,5,10,0,6,16
"durazer01","2004","1","OAK","AL",142,511,80,164,35,1,22,88,3,2,56,104,9,9,0,2,7
"guerrvl01","2004","1","ANA","AL",156,612,124,206,39,2,39,126,15,3,52,74,14,8,0,8,19
"guillca01","2004","1","DET","AL",136,522,97,166,37,10,20,97,12,5,52,87,3,2,3,4,12
"heltoto01","2004","1","COL","NL",154,547,115,190,49,2,32,96,3,0,127,72,19,3,0,6,12
"kendaja01","2004","1","PIT","NL",147,574,86,183,32,0,3,51,11,8,60,41,2,19,1,4,12
"lopezja01","2004","1","BAL","AL",150,579,83,183,33,3,23,86,0,0,47,97,4,6,0,6,16
"loretma01","2004","1","SDN","NL",154,620,108,208,47,2,16,76,5,3,58,45,3,9,4,16,10
