'playerID';'yearID';'stint';'teamID';'lgID';'G';'AB';'R';'H';'2B';'3B';'HR';'RBI';'SB';'CS';'BB';'SO';'IBB';'HBP';'SH';'SF';'GIDP'
'braunry02';'2011';'1';'MIL';'NL';150;563;109;187;38;6;33;111;33;6;58;93;2;5;0;3;9
'cabremi01';'2011';'1';'DET';'AL';161;572;111;197;48;0;30;105;2;1;108;89;22;3;0;5;24
'ellsbja01';'2011';'1';'BOS';'AL';158;660;119;212;46;5;32;105;39;15;52;98;1;9;3;5;8
'gonzaad01';'2011';'1';'BOS';'AL';159;630;108;213;45;3;27;117;1;0;74;119;20;6;0;5;28
'kempma01';'2011';'1';'LAN';'NL';161;602;115;195;33;4;39;126;40;11;74;159;24;6;0;7;16
'martivi01';'2011';'1';'DET';'AL';145;540;76;178;40;0;12;103;1;0;46;51;6;2;0;7;20
'reyesjo01';'2011';'1';'NYN';'NL';126;537;101;181;31;16;7;44;39;7;43;41;9;0;2;4;5
'youngmi02';'2011';'1';'TEX';'AL';159;631;88;213;41;6;11;106;6;2;47;78;7;2;0;9;17
'beltrad01';'2012';'1';'TEX';'AL';156;604;95;194;33;2;36;102;1;0;36;82;8;5;0;9;8
'braunry02';'2012';'1';'MIL';'NL';154;598;108;191;36;3;41;112;30;7;63;128;15;11;0;5;12
'cabremi01';'2012';'1';'DET';'AL';161;622;109;205;40;0;44;139;4;1;66;98;17;3;0;6;28
'jeterde01';'2012';'1';'NYA';'AL';159;683;99;216;32;0;15;58;9;4;45;90;1;5;6;1;24
'mauerjo01';'2012';'1';'MIN';'AL';147;545;81;174;31;4;10;85;8;4;90;88;10;2;1;3;23
'mccutan01';'2012';'1';'PIT';'NL';157;593;107;194;29;6;31;96;20;12;70;132;13;5;0;5;9
'poseybu01';'2012';'1';'SFN';'NL';148;530;78;178;39;1;24;103;1;1;69;96;7;2;0;9;19
'troutmi01';'2012';'1';'LAA';'AL';139;559;129;182;27;8;30;83;49;5;67;139;4;6;0;7;7
'beltrad01';'2013';'1';'TEX';'AL';161;631;88;199;32;0;30;92;1;0;50;78;12;7;0;2;17
'cabremi01';'2013';'1';'DET';'AL';148;555;103;193;26;1;44;137;3;0;90;94;19;5;0;2;19
'carpema01';'2013';'1';'SLN';'NL';157;626;126;199;55;7;11;78;3;3;72;98;1;9;3;7;4
'freemfr01';'2013';'1';'ATL';'NL';147;551;89;176;27;2;23;109;1;0;66;121;10;7;0;5;10
'johnsch05';'2013';'1';'ATL';'NL';142;514;54;165;34;0;12;68;0;0;29;116;5;2;0;2;20
'mccutan01';'2013';'1';'PIT';'NL';157;583;97;185;38;5;21;84;27;10;78;101;12;9;0;4;13
'molinya01';'2013';'1';'SLN';'NL';136;505;68;161;44;0;12;80;3;2;30;55;4;3;0;3;14
'troutmi01';'2013';'1';'LAA';'AL';157;589;109;190;39;9;27;97;33;7;110;136;10;9;0;8;8
'abreujo02';'2014';'1';'CHA';'AL';145;556;80;176;35;2;36;107;3;1;51;131;15;11;0;4;14
'altuvjo01';'2014';'1';'HOU';'AL';158;660;85;225;47;3;7;59;56;9;36;53;7;5;1;5;20
'beltrad01';'2014';'1';'TEX';'AL';148;549;79;178;33;1;19;77;1;1;57;74;13;3;0;5;15
'brantmi02';'2014';'1';'CLE';'AL';156;611;94;200;45;2;20;97;23;1;52;56;4;8;0;5;16
'harrijo05';'2014';'1';'PIT';'NL';143;520;77;164;38;7;13;52;18;7;22;81;1;4;2;2;6
'martivi01';'2014';'1';'DET';'AL';151;561;87;188;33;0;32;103;3;2;70;42;28;4;0;6;17
'morneju01';'2014';'1';'COL';'NL';135;502;62;160;32;3;17;82;0;3;34;60;4;6;0;8;7
'bogaexa01';'2015';'1';'BOS';'AL';156;613;84;196;35;3;7;81;10;2;32;101;1;3;3;3;16
'goldspa01';'2015';'1';'ARI';'NL';159;567;103;182;38;2;33;110;21;5;118;151;29;2;0;7;16
'gordode01';'2015';'1';'MIA';'NL';145;615;88;205;24;8;4;46;58;20;25;91;2;2;6;5;6
'harpebr03';'2015';'1';'WAS';'NL';153;521;118;172;38;1;42;99;6;4;124;131;15;5;0;4;15
'polloaj01';'2015';'1';'ARI';'NL';157;609;111;192;39;6;20;76;39;7;53;89;0;2;0;9;19
'poseybu01';'2015';'1';'SFN';'NL';150;557;74;177;28;0;19;95;2;0;56;52;10;3;0;7;17
