playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
atkinga01,1979,12,12,USA,CA,Orange,,,,,,,Garrett,Atkins,Garrett Bernard,190,74,R,R,2003-08-03,2010-06-25,atkig001,atkinga01
berkmla01,1976,2,10,USA,TX,Waco,,,,,,,Lance,Berkman,William Lance,220,73,B,L,1999-07-16,2013-09-17,berkl001,berkmla01
cabremi01,1983,4,18,Venezuela,Aragua,Maracay,,,,,,,Miguel,Cabrera,Jose Miguel,240,76,R,R,2003-06-20,2016-10-02,cabrm001,cabremi01
crawfca02,1981,8,5,USA,TX,Houston,,,,,,,Carl,Crawford,Carl Demonte,230,74,L,L,2002-07-20,2016-06-03,crawc002,crawfca02
damonjo01,1973,11,5,USA,KS,Fort Riley,,,,,,,Johnny,Damon,Johnny David,205,74,L,L,1995-08-12,2012-08-01,damoj001,damonjo01
dyeje01,1974,1,28,USA,CA,Oakland,,,,,,,Jermaine,Dye,Jermaine Terrell,210,76,R,R,1996-05-17,2009-10-04,dye-j001,dyeje01
guerrvl01,1975,2,9,D.R.,Peravia,Nizao,,,,,,,Vladimir,Guerrero,Vladimir,235,75,R,R,1996-09-19,2011-09-28,guerv001,guerrvl01
heltoto01,1973,8,20,USA,TN,Knoxville,,,,,,,Todd,Helton,Todd Lynn,220,74,L,L,1997-08-02,2013-09-29,heltt001,heltoto01
hollima01,1980,1,15,USA,OK,Stillwater,,,,,,,Matt,Holliday,Matthew Thomas,240,76,R,R,2004-04-16,2016-10-02,hollm001,hollima01
leede02,1975,9,6,USA,CA,Sacramento,,,,,,,Derrek,Lee,Derrek Leon,240,77,R,R,1997-04-28,2011-09-28,lee-d002,leede02
