"playerID","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID"
"alomaro01","1968","2","5","P.R.","","Ponce","","","","","","","Roberto","Alomar","Roberto","184","72","B","R","1988-04-22","2004-09-05","alomr001","alomaro01"
"aloumo01","1966","7","3","USA","GA","Atlanta","","","","","","","Moises","Alou","Moises Rojas","185","75","R","R","1990-07-26","2008-06-10","aloum001","aloumo01"
"anderga01","1972","6","30","USA","CA","Los Angeles","","","","","","","Garret","Anderson","Garret Joseph","190","75","L","L","1994-07-27","2010-08-06","andeg001","anderga01"
"aurilri01","1971","9","2","USA","NY","Brooklyn","","","","","","","Rich","Aurilia","Richard Santo","170","72","R","R","1995-09-06","2009-10-04","aurir001","aurilri01"
"beltrad01","1979","4","7","D.R.","Distrito Nacional","Santo Domingo","","","","","","","Adrian","Beltre","Adrian","220","71","R","R","1998-06-24","2016-10-02","belta001","beltrad01"
"berkmla01","1976","2","10","USA","TX","Waco","","","","","","","Lance","Berkman","William Lance","220","73","B","L","1999-07-16","2013-09-17","berkl001","berkmla01"
"boonebr01","1969","4","6","USA","CA","El Cajon","","","","","","","Bret","Boone","Bret Robert","180","70","R","R","1992-08-19","2005-07-30","boonb002","boonebr01"
"caseyse01","1974","7","2","USA","NJ","Willingboro","","","","","","","Sean","Casey","Sean Thomas","215","76","L","R","1997-09-12","2008-09-28","cases001","caseyse01"
"durazer01","1974","1","23","Mexico","Sonora","Hermosillo","","","","","","","Erubiel","Durazo","Erubiel","240","75","L","L","1999-07-26","2005-05-24","durae001","durazer01"
"floydcl01","1972","12","5","USA","IL","Chicago","","","","","","","Cliff","Floyd","Cornelius Clifford","220","77","L","R","1993-09-18","2009-06-17","floyc001","floydcl01"
"giambja01","1971","1","8","USA","CA","West Covina","","","","","","","Jason","Giambi","Jason Gilbert","240","75","L","R","1995-05-08","2014-09-27","giamj001","giambja01"
"gilesma01","1978","5","18","USA","CA","San Diego","","","","","","","Marcus","Giles","Marcus William","180","68","R","R","2001-04-17","2007-09-28","gilem001","gilesma01"
"gonzaju03","1969","10","20","P.R.","","Arecibo","","","","","","","Juan","Gonzalez","Juan Alberto","175","75","R","R","1989-09-01","2005-05-31","gonzj002","gonzaju03"
"gonzalu01","1967","9","3","USA","FL","Tampa","","","","","","","Luis","Gonzalez","Luis Emilio","180","74","L","R","1990-09-04","2008-09-28","gonzl001","gonzalu01"
"guerrvl01","1975","2","9","D.R.","Peravia","Nizao","","","","","","","Vladimir","Guerrero","Vladimir","235","75","R","R","1996-09-19","2011-09-28","guerv001","guerrvl01"
"guillca01","1975","9","30","Venezuela","Aragua","Maracay","","","","","","","Carlos","Guillen","Carlos Alfonso","215","73","B","R","1998-09-06","2011-09-18","guilc001","guillca01"
"heltoto01","1973","8","20","USA","TN","Knoxville","","","","","","","Todd","Helton","Todd Lynn","220","74","L","L","1997-08-02","2013-09-29","heltt001","heltoto01"
"jonesch06","1972","4","24","USA","FL","DeLand","","","","","","","Chipper","Jones","Larry Wayne","210","76","B","R","1993-09-11","2012-10-03","jonec004","jonesch06"
"kendaja01","1974","6","26","USA","CA","San Diego","","","","","","","Jason","Kendall","Jason Daniel","181","72","R","R","1996-04-01","2010-08-30","kendj001","kendaja01"
"lopezja01","1970","11","5","P.R.","","Ponce","","","","","","","Javy","Lopez","Javier","185","75","R","R","1992-09-18","2006-09-02","lopej001","lopezja01"
"loretma01","1971","8","14","USA","CA","Santa Monica","","","","","","","Mark","Loretta","Mark David","175","72","R","R","1995-09-04","2009-10-04","lorem001","loretma01"
"muellbi02","1971","3","17","USA","MO","Maryland Heights","","","","","","","Bill","Mueller","William Richard","175","71","B","R","1996-04-18","2006-05-11","muelb001","muellbi02"
"ordonma01","1974","1","28","Venezuela","Distrito Federal","Caracas","","","","","","","Magglio","Ordonez","Magglio","215","72","R","R","1997-08-29","2011-09-27","ordom001","ordonma01"
"pujolal01","1980","1","16","D.R.","Distrito Nacional","Santo Domingo","","","","","","","Albert","Pujols","Jose Alberto","240","75","R","R","2001-04-02","2016-09-26","pujoa001","pujolal01"
"ramirma02","1972","5","30","D.R.","Distrito Nacional","Santo Domingo","","","","","","","Manny","Ramirez","Manuel Aristides","225","72","R","R","1993-09-02","2011-04-06","ramim002","ramirma02"
"renteed01","1976","8","7","Colombia","Atlantico","Barranquilla","","","","","","","Edgar","Renteria","Edgar Enrique","200","73","R","R","1996-05-10","2011-09-28","rente001","renteed01"
"sheffga01","1968","11","18","USA","FL","Tampa","","","","","","","Gary","Sheffield","Gary Antonian","190","71","R","R","1988-09-03","2009-09-30","shefg001","sheffga01"
"suzukic01","1973","10","22","Japan","Aichi","Nichi Kasugai-gun","","","","","","","Ichiro","Suzuki","Ichiro","175","71","L","R","2001-04-02","2016-10-02","suzui001","suzukic01"
"willibe02","1968","9","13","P.R.","","San Juan","","","","","","","Bernie","Williams","Bernabe","180","74","B","R","1991-07-07","2006-10-01","willb002","willibe02"
