'playerID';'birthYear';'birthMonth';'birthDay';'birthCountry';'birthState';'birthCity';'deathYear';'deathMonth';'deathDay';'deathCountry';'deathState';'deathCity';'nameFirst';'nameLast';'nameGiven';'weight';'height';'bats';'throws';'debut';'finalGame';'retroID';'bbrefID'
'abreujo02';'1987';'1';'29';'Cuba';'Cienfuegos';'Cienfuegos';'';'';'';'';'';'';'Jose';'Abreu';'Jose Dariel';'255';'75';'R';'R';'2014-03-31';'2016-10-02';'abrej003';'abreujo02'
'altuvjo01';'1990';'5';'6';'Venezuela';'Aragua';'Maracay';'';'';'';'';'';'';'Jose';'Altuve';'Jose Carlos';'165';'66';'R';'R';'2011-07-20';'2016-10-02';'altuj001';'altuvjo01'
'beltrad01';'1979';'4';'7';'D.R.';'Distrito Nacional';'Santo Domingo';'';'';'';'';'';'';'Adrian';'Beltre';'Adrian';'220';'71';'R';'R';'1998-06-24';'2016-10-02';'belta001';'beltrad01'
'bogaexa01';'1992';'10';'1';'Aruba';'';'Oranjestad';'';'';'';'';'';'';'Xander';'Bogaerts';'Xander Jan';'210';'73';'R';'R';'2013-08-20';'2016-10-02';'bogax001';'bogaexa01'
'brantmi02';'1987';'5';'15';'USA';'WA';'Bellevue';'';'';'';'';'';'';'Michael';'Brantley';'Michael Charles';'200';'74';'L';'L';'2009-09-01';'2016-05-09';'branm003';'brantmi02'
'braunry02';'1983';'11';'17';'USA';'CA';'Mission Hills';'';'';'';'';'';'';'Ryan';'Braun';'Ryan Joseph';'205';'74';'R';'R';'2007-05-25';'2016-10-01';'braur002';'braunry02'
'cabremi01';'1983';'4';'18';'Venezuela';'Aragua';'Maracay';'';'';'';'';'';'';'Miguel';'Cabrera';'Jose Miguel';'240';'76';'R';'R';'2003-06-20';'2016-10-02';'cabrm001';'cabremi01'
'carpema01';'1985';'11';'26';'USA';'TX';'Galveston';'';'';'';'';'';'';'Matt';'Carpenter';'Matthew Martin';'205';'75';'L';'R';'2011-06-04';'2016-10-02';'carpm002';'carpema01'
'ellsbja01';'1983';'9';'11';'USA';'OR';'Madras';'';'';'';'';'';'';'Jacoby';'Ellsbury';'Jacoby McCabe';'195';'73';'L';'L';'2007-06-30';'2016-10-02';'ellsj001';'ellsbja01'
'freemfr01';'1989';'9';'12';'USA';'CA';'Fountain Valley';'';'';'';'';'';'';'Freddie';'Freeman';'Frederick Charles';'220';'77';'L';'R';'2010-09-01';'2016-10-02';'freef001';'freemfr01'
'goldspa01';'1987';'9';'10';'USA';'DE';'Wilmington';'';'';'';'';'';'';'Paul';'Goldschmidt';'Paul Edward';'225';'75';'R';'R';'2011-08-01';'2016-10-02';'goldp001';'goldspa01'
'gonzaad01';'1982';'5';'8';'USA';'CA';'San Diego';'';'';'';'';'';'';'Adrian';'Gonzalez';'Adrian Sabin';'215';'74';'L';'L';'2004-04-18';'2016-10-02';'gonza003';'gonzaad01'
'gordode01';'1988';'4';'22';'USA';'FL';'Windermere';'';'';'';'';'';'';'Dee';'Gordon';'Devaris';'170';'71';'L';'R';'2011-06-06';'2016-10-02';'gordd002';'gordode01'
