'City' 'Jan' 'Feb' 'Mar' 'Apr' 'May' 'Jun' 'Jul' 'Aug' 'Sep' 'Oct' 'Nov' 'Dec'
'Houston, USA' 62 65 72 78 84 90 92 93 88 81 71 63
'Baghdad, Iraq' 61 66 75 86 97 108  111 111 104 91 75 64
'Moscow, Russia' 21 25 36 50 64 72 73 70 59 46 34 25
'San Francisco, USA' 57 60 62 63 64 66 67 68 70 69 63 57
'London, England' 43 45 50 55 63 68 72 70 66 57 50 45
'Chicago, USA' 32 36 46 59 70 81 84 82 75 63 48 36
'Sydney, Australia' 79 79 77 73 68 64 63 64 68 72 75 79
'Paris, France' 45 46 54 61 68 73 77 77 70 61 52 46
'Tokyo, Japan' 46 48 54 63 70 75 82 84 79 68 59 52
'Shanghai, China' 46 48 55 66 75 81 90 90 81 72 63 52
