NY,New York,36061,1537195,1.5E-04
CA,Los Angeles,06037,9519338,1.1E-04
NY,Bronx,36005,1332650,1.1E-04
CA,Orange,06059,2846289,9.8E-05
NY,Kings,36047,2465326,9.8E-05
CA,Kern,06029,661645,9.7E-05
OR,Multnomah,41051,660486,9.3E-05
NJ,Hudson,34017,608975,9.1E-05
NY,Queens,36081,2229379,8.9E-05
VA,Richmond City,51760,197790,8.6E-05
CA,San Francisco,06075,776733,8.4E-05
CO,Denver,08031,554636,7.9E-05
CA,Statewide,06000,33871648,7.7E-05
CA,San Bernardino,06071,1709434,7.7E-05
DC,Statewide,11000,572059,7.7E-05
DC,District of Columbia,11001,572059,7.7E-05
VA,Arlington,51013,189453,7.7E-05
WV,Brooke,54009,25447,7.7E-05
NY,Nassau,36059,1334544,7.6E-05
MD,Baltimore City,24510,651154,7.4E-05
WI,Milwaukee,55079,940164,7.4E-05
AL,Jefferson,01073,662047,7.3E-05
NJ,Union,34039,522541,7.3E-05
OR,Washington,41067,445342,7.3E-05
NY,Statewide,36000,18976457,7.2E-05
NJ,Essex,34013,793633,7.1E-05
VA,Winchester,51840,23585,7.1E-05
CA,Alameda,06001,1443741,7.0E-05
GA,Fulton,13121,816006,7.0E-05
MA,Suffolk,25025,689807,7.0E-05
NY,Richmond,36085,443728,7.0E-05
CA,Glenn,06021,26453,6.9E-05
MO,St. Louis City,29510,348189,6.9E-05
NJ,Bergen,34003,884118,6.9E-05
VA,Falls Church,51610,10377,6.9E-05
AZ,Maricopa,04013,3072149,6.8E-05
GA,DeKalb,13089,665865,6.8E-05
VA,Alexandria,51510,128283,6.8E-05
CA,San Diego,06073,2813833,6.6E-05
CO,Adams,08001,363857,6.6E-05
GA,Clayton,13063,236517,6.6E-05
OR,Clackamas,41005,338391,6.6E-05
MD,Montgomery,24031,873341,6.5E-05
NY,Westchester,36119,923459,6.5E-05
VA,Roanoke City,51770,94911,6.5E-05
CA,Fresno,06019,799407,6.4E-05
CA,Santa Barbara,06083,399347,6.4E-05
GA,Cobb,13067,607751,6.4E-05
LA,Orleans,22071,484674,6.4E-05
MD,Prince George's,24033,801515,6.4E-05
MI,Wayne,26163,2061162,6.4E-05
WA,Clark,53011,345238,6.4E-05
CA,Santa Clara,06085,1682585,6.3E-05
GA,Gwinnett,13135,588448,6.3E-05
NJ,Passaic,34031,489049,6.3E-05
NY,Suffolk,36103,1419369,6.3E-05
VA,Henrico,51087,262300,6.3E-05
LA,Caddo,22017,252161,6.2E-05
NE,Douglas,31055,463585,6.2E-05
CA,Riverside,06065,1545387,6.1E-05
CA,Sacramento,06067,1223499,6.1E-05
FL,Leon,12073,239452,6.1E-05
IL,Cook,17031,5376741,6.1E-05
MD,Baltimore,24005,754292,6.1E-05
NE,Lancaster,31109,250291,6.1E-05
PA,Allegheny,42003,1281666,6.1E-05
TN,Davidson,47037,569891,6.1E-05
TN,Hamilton,47065,307896,6.1E-05
CA,Madera,06039,123109,6.0E-05
MD,Howard,24027,247842,6.0E-05
MS,Coahoma,28027,30622,6.0E-05
MS,Hinds,28049,250800,6.0E-05
MO,St. Louis,29189,1016315,6.0E-05
TX,Harris,48201,3400578,6.0E-05
CA,Yolo,06113,168660,5.9E-05
CO,Arapahoe,08005,487967,5.9E-05
GA,Muscogee,13215,186291,5.9E-05
GA,Richmond,13245,199775,5.9E-05
KY,Jefferson,21111,693604,5.9E-05
MS,Winston,28159,20160,5.9E-05
NJ,Middlesex,34023,750162,5.9E-05
CA,Tulare,06107,368021,5.8E-05
CA,Ventura,06111,753197,5.8E-05
KY,Boyd,21019,49752,5.8E-05
MN,Hennepin,27053,1116200,5.8E-05
OH,Cuyahoga,39035,1393978,5.8E-05
PA,Philadelphia,42101,1517550,5.8E-05
VA,Lynchburg,51680,65269,5.8E-05
VA,Salem,51775,24747,5.8E-05
VA,Waynesboro,51820,19520,5.8E-05
WA,King,53033,1737034,5.8E-05
AL,Montgomery,01101,223510,5.7E-05
CA,Shasta,06089,163256,5.7E-05
CT,Hartford,09003,857183,5.7E-05
MD,Statewide,24000,5296486,5.7E-05
MI,Oakland,26125,1194156,5.7E-05
NJ,Camden,34007,508932,5.7E-05
TX,Jefferson,48245,252051,5.7E-05
VA,Fairfax,51059,969749,5.7E-05
AL,Calhoun,01015,112249,5.6E-05
AL,Russell,01113,49756,5.6E-05
AL,Shelby,01117,143293,5.6E-05
CA,Imperial,06025,142361,5.6E-05
CA,San Mateo,06081,707161,5.6E-05
CA,Sutter,06101,78930,5.6E-05
GA,Henry,13151,119341,5.6E-05
GA,Rockdale,13247,70111,5.6E-05
GA,Whitfield,13313,83525,5.6E-05
IA,Scott,19163,158668,5.6E-05
MA,Middlesex,25017,1465396,5.6E-05
MN,Ramsey,27123,511035,5.6E-05
NJ,Statewide,34000,8414350,5.6E-05
NC,Mecklenburg,37119,695454,5.6E-05
TN,Knox,47093,382032,5.6E-05
VA,Bristol,51520,17367,5.6E-05
VA,Colonial Heights,51570,16897,5.6E-05
AZ,Statewide,04000,5130632,5.5E-05
CO,Jefferson,08059,527056,5.5E-05
GA,Thomas,13275,42737,5.5E-05
OR,Statewide,41000,3421399,5.5E-05
TN,Shelby,47157,897472,5.5E-05
TX,Gregg,48183,111379,5.5E-05
VA,Hopewell,51670,22354,5.5E-05
AL,Tuscaloosa,01125,164875,5.4E-05
AR,Union,05139,45629,5.4E-05
CT,New Haven,09009,824008,5.4E-05
GA,Bibb,13021,153887,5.4E-05
GA,Walker,13295,61053,5.4E-05
OH,Hamilton,39061,845303,5.4E-05
SC,Richland,45079,320677,5.4E-05
TX,Dallas,48113,2218899,5.4E-05
VA,Roanoke,51161,85778,5.4E-05
VA,Charlottesville,51540,45049,5.4E-05
